,Ticket Centres,,Zoos,,Biljettcentrum,,Billetteries,,,Εκδοτήρια Εισιτηρίων,,Venta de entradas ,,Centros de Bilhetes ,,Prodejny vstupenek,,Centri z vstopnicami,,Predajne vstupeniek,,Prodaja karata ,
,Car Hire,,Ticketshops,,Biluthyrning,,Location de voitures,,,Ενοικιάσεις Αυτοκινήτων,,Alquiler de coches,,Aluguer de Automóveis ,,Pronájem aut,,Najem avtomobilov,,Prenájom áut,,Iznajmljivanje automobila ,
,Arts and Crafts,,Autoverleihe,,Konst och konsthantverk,,Artisanat,,,Τέχνες και Χειροτεχνία,,Artesanía y manualidades,,Artes e Ofícios ,,Umění a řemesla,,Umetnost in obrt,,Umenie a remeslá,,Umjetnosti i zanati ,
,Travel Agencies and Tour Operators,,Kunst und Kunthandwerk,,Resebyråer  och researrangörer,,Agences de voyages et visites guidées,,,Ταξιδιωτικά Γραφεία και Τουριστικοί Πράκτορες,,Agencias de viajes y operadores turísticos,,Agências de Viagens e Operadores Turísticos ,,Cestovní kanceláře a průvodci,,Potovalne agencije in organizatorji potovanj,,Cestovné kancelárie a prevádzkovatelia zájazdov,,Turističke agencije i turoperatori ,
,Guest Houses,,Reisebüros und Reiseveranstalter,,Gästhem,,Chambres d’hôte,,,Ξενώνες,,Pensiones,,Casas de Hóspedes ,,Penziony,,Sobe za goste,,Penzióny,,Pansioni ,
,Attractions,,Gästehäuser,,Attraktioner,,Attractions touristiques,,,Αξιοθέατα,,Atracciones,,Atrações ,,Atrakce,,Atrakcije,,Atrakcie,,Atrakcije ,
,Wineries,,Attraktionen,,Vinbarer,,Vineries,,,Οινοποιεία,,Tiendas de vinos,,Vinícolas ,,Vinárny,,Vinotoči ,,Vinárne,,Vinarije ,
,Cinemas,,Weinkellereien,,Biografer,,Cinémas,,,Κινηματογράφοι,,Cines,,Cinemas ,,Kina,,Kinodvorane,,Kiná,,Bioskopi ,
,Museums,,Kinos,,Museer,,Musées,,,Μουσεία,,Museos,,Museus ,,Muzea,,Muzeji,,Múzeá,,Muzeji ,
,Opera; Ballet and Classical Music,,Museen,,Opera: Balett och klassisk musik,,"Opéras, ballets et concerts classiques",,,Όπερα: Μπαλέτο και Κλασική Μουσική,,"Ópera, ballet y música clásica",,Ópera; Ballet e Música Clássica ,,"Opera, balet a klasická hudba",,Opera; Balet in klasična glasba,,"Opera, balet a klasická hudba",,Opera; Balet i klasična muzika ,
,Beaches,,"Oper, Ballett und klassische Musik",,Badstränder,,Plages,,,Παραλίες,,Playas,,Praias ,,Pláže,,Plaže,,Pláže,,Plaže ,
,Theatres,,Strände,,Teatrar,,Théâtres,,,Θέατρα,,Teatros,,Teatros ,,Divadla,,Gledališča,,Divadlá,,Pozorišta ,
,Dance Classes,,Theater,,Danskurser,,Cours de danse,,,Μαθήματα Χορού,,Clases de baile,,Aulas de Dança ,,Taneční kurzy,,Plesni tečaji,,Lekcie tanca,,Plesne škole ,
,Art Galleries and Shops,,Tanzkurse,,Konstgallerier och butiker,,Boutiques et galeries d’art,,,Γκαλερί και Καταστήματα Τέχνης,,Galerías y tiendas de arte,,Galerias de Arte e Lojas ,,Galerie a prodejny umění,,Umetnostne galerije in prodajalne,,Umelecké galérie a obchody,,Umjetničke galerije i prodavnice ,
,Childrens Play Centres and Creches,,Kunstgallerien und Geschäfte,,Lekparker och barnkrubbor,,Crèches et centres récréatifs pour enfants,,,Παιδότοποι και Βρεφονηπιακοί Σταθμοί,,Salas de juego infantiles y guarderías,,Centros Lúdicos de Crianças e Creches ,,Střediska pro děti a jesle,,Otroški centri in jasli,,Centrá detských hier a jasle,,Dječije igraonice i jaslice ,
,Circuses,,Kinderkrippen,,Cirkusar,,Cirques,,,Τσίρκα,,Circos,,Circos ,,Cirkusy,,Cirkusi,,Cirkusy,,Cirkusi ,
,Book Shops,,Zirkusse,,Bokhandlar,,Boutiques de livres,,,Βιβλιοπωλεία,,Librerías,,Livrarias ,,Knihkupectví,,Knjigarne,,Kníhkupectvá,,Knjižare ,
,Bakeries,,Bücherladen,,Bagerier,,Boulangerie,,,Φούρνοι,,Pastelerías,,Padarias,,Pekárny,,Pekarne,,Pekárne,,Pekare,
,Butchers,,Bäckereien,,Slaktare,,Bouchers,,,Κρεοπωλεία,,Carnicerías,,Talhos ,,Řeznictví,,Mesar,,Mäsiarstva,,Mesnice ,
,Chocolate Shops,,Metzger,,Chokladbutiker,,Chocolateries,,,Σοκολατερίες,,Tiendas de chocolate,,Lojas de Chocolate,,Prodejny čokolády,,Trgovine s čokolado ,,Obchody s čokoládou,,Prodavnice čokolade ,
,Curtain Shops,,Schokoladengeschäfte,,Gardinbutiker,,Boutique de tissus,,,Καταστήματα Κουρτινών,,Tiendas de cortinas,,Lojas de Cortinas,,Prodejny se závěsy,,Trgovine z zavesami,,Obchody so záclonami,,Prodavnice zavjesa,
,Fishmongers,,Stoffgeschäfte,,Fiskhandlare,,Poissonneries,,,Ιχθυοπωλεία,,Pescadería,,Peixarias ,,Rybárny,,Ribarnice,,Obchod s rybami,,Ribarnice ,
,Fruit and Vegetable Shops,,Fischgeschäfte,,Frukt- och grönsakshandlare,,Marchés de fruits et légumes,,,Καταστήματα Φρούτων και Λαχανικών,,Fruterías y verdulerías,,Lojas de Frutas e Vegetais,,Ovoce a zelenina,,Trgovine s sadjem in zelenjavo,,Obchod s ovocím a zeleninou,,Prodavnice voća i povrća,
,Lighting Shops,,Obst- und Gemüseläden,,Belysningsbutiker,,Boutiques de luminaires,,,Καταστήματα Φωτιστικών,,Tiendas de lámparas,,Lojas de Iluminação ,,Svítidla,,Trgovine z lučmi,,Obchody s osvetlením,,Prodavnice rasvjete,
,Pharmacies,,Leuchtmittelgeschäft,,Apotek,,Pharmacies,,,Φαρμακεία,,Farmacias,,Farmácias ,,Lékárny,,Lekarne,,Lekárne,,Apoteke ,
,24 Hour Pharmacies,,Apotheken,,Dygnet-runt-öppna apotek,,Pharmacies 24 h,,,Διανυκτερεύοντα Φαρμακεία,,Farmacias 24 horas,,Farmácias 24 Horas ,,Nonstop lékárny,,24 ur lekarne,,24-hodinové lekárne,,Dežurne apoteke ,
,Aromatherapy,,24-Stunden-Apotheken,,Aromaterapi,,Aromathérapie,,,Αρωματοθεραπεία,,Aromaterapia,,Aromaterapia ,,Aromaterapie,,Aromaterapija,,Aromaterapia,,Aromaterapija ,
,Healthy Living,,Aromatherapie,,Hälsokost,,Bien-être,,,Υγιεινή Ζωή,,Vida sana,,Vida Saudável ,,Zdravý život,,Zdravo življenje,,Zdravý životný štýl,,Zdrav život ,
,Yoga; Meditation and Pilates,,Gesundes Leben,,Yoga: Meditation och pilates,,"Yoga, méditation et Pilates",,,Γιόγκα: Διαλογισμός και Πιλάτες,,"Yoga, meditación y pilates",,Ioga; Meditação e Pilates ,,"Jóga, meditace a Pilates",,Joga; Meditacija in pilates,,"Joga, meditácia a pilates",,Joga; Meditacija i pilates ,
,Kinesiotherapy,,"Yoga, Meditation und Pilates",,Kinesiologi,,Kinésithérapie,,,Κινησιοθεραπεία,,Kinesioterapia,,Cinesioterapia ,,Kinezioterapie,,Kinezioterapija,,Kinezioterapia,,Kineziterapija ,
,Beauty Salons,,Kinesiotherapie,,Skönhetssalonger,,Salons de beauté,,,Ινστιτούτα Αισθητικής,,Salones de belleza,,Salões de Beleza ,,Salóny krásy,,Lepotni saloni,,Salóny krásy,,Saloni ljepote ,
,Party Accessories,,Beauty-Salons,,Festtillbehör,,Accessoires de fête,,,Αξεσουάρ για Πάρτι,,Artículos para fiestas,,Acessórios para Festas ,,Partyshopy,,Pripomočki za zabave,,Predaj doplnkov na večierky,,Pribor za zabave ,
,Supermarkets,,Party-Bedarf,,Snabbköp,,Supermarchés,,,Σουπερμάρκετ,,Supermercados,,Supermercados ,,Supermarkety,,Supermarket,,Supermarkety,,Supermarketi ,
,Jewellery Shops,,Supermärkte,,Guldsmeder,,Bijouteries,,,Κοσμηματοπωλεία,,Joyerías,,Joalharias ,,Šperky,,Zlatarne,,Klenotníctva,,Prodavnice nakita,
,Antique Shops,,Juweliere,,Antikaffärer,,Antiquaires,,,Αντίκες,,Tiendas de antigüedades,,Lojas de Antiguidades ,,Starožitnosti,,Starinarnice,,Starožitníctva,,Antikvarnice ,
,Bio Shops,,Antiquitätenläden,,Biobutiker,,Boutiques bio,,,Καταστήματα Βιολογικών Προϊόντων,,Biotiendas,,Bio Lojas ,,Bioprodejny,,Bio trgovine,,Bio obchody,,Bio prodavnice ,
,Wine Shops,,Bioläden,,Vinbutiker,,Boutiques de vins,,,Κάβες,,Vinería,,Lojas de Vinho ,,Prodejny s vínem,,Vinoteke,,Predajne vín,,Prodavnice vina ,
,Garden Centres and Shops,,Weinläden,,Trädgårdscenter och -butiker,,Centres du jardin,,,Καταστήματα και Κέντρα Κήπου,,Floristerías,,Centros e Lojas de Jardinagem,,Zahradnická centra a prodejny,,Vrtni centri in trgovine,,Záhradné strediská a obchody,,Vrtni centri i prodavnice ,
,Massage,,Gartenzentren,,Massage,,Massothérapie,,,Μασάζ,,Masajes,,Massagem ,,Masáže,,Masaže,,Masáž,,Masaža ,
,Perfumery and Cosmetics Shops,,Massage,,Parfymerier,,Boutiques de parfums et de cosmétiques,,,Καταστήματα Αρωμάτων και Καλλυντικών,,Tiendas de perfume y cosmética,,Perfumaria e Lojas de Cosméticos,,Parfumerie a prodejny s kosmetikou,,Parfumerije in kozmetične trgovine,,Obchody s parfumami a kozmetikou,,Parfimerija i prodavnice kozmetike ,
,Party and Event Organizers,,Parfümerien und Kosmetikläden,,Fest- och eventarrangörer,,Organisateurs de fêtes et d’événements,,,Διοργανωτές Πάρτι και Εκδηλώσεων,,Organizadores de fiestas y eventos,,Organizadores de Festas e Eventos,,Organizátoři party a akcí,,Organizacija zabav in dogodkov,,Organizátori večierkov a udalostí,,Organizatori zabava i događaja,
,Babysitters and Childcare,,Party- und Eventagenturen,,Barnvakter,,Gardiens d’enfants et services de garde,,,Μπέιμπι-σίτερ και Παιδική Φροντίδα,,Niñeras y cuidado infantil,,Babysitters e Cuidado de Crianças Babysitters e Cuidado de Crianças Babysitters e Cuidado de Crianças Babysitters e Cuidado de Crianças Babysitters e Cuidado de Crianças Babysitters e Cuidado de Crianças Babysitters e Cuidado de Crianças Babysitters e Cuidado de Crianças Babysitters e Cuidado de Crianças Babysitters e Cuidado de Crianças Babysitters e Cuidado de Crianças Babysitters e Cuidado de Crianças Babysitters e Cuidado de Crianças Babysitters e Cuidado de Crianças Babysitters e Cuidado de Crianças Babysitters e Cuidado de Crianças ,,Hlídání dětí a péče o děti,,Varuške in varstvo otrok,,Stráženie detí a starostlivosť o deti,,Bejbisiterke i briga o djeci ,
,Launderettes,,Babysitter und Tagesmütter,,Tvättomater,,Buanderies,,,Πλυντήρια,,Lavanderías,,Lavandarias ,,Samoobslužné prádelny,,Pralnice,,Pranie a žehlenie bielizne,,Praonice rublja ,
,Bathroom Equipment and Furniture Manufacturing; Sales and Installation,,Waschsalons,,Badrumsutrustning och badrumsinredning Tillverkning; Försäljning och installation,,Équipement et production de meubles pour salles de bains ; Vente et installation,,,Εξοπλισμός Μπάνιου και Κατασκευή Επίπλου: Πωλήσεις και Εγκατάσταση,,"Fabricación, venta e instalación de muebles y equipamiento para baños",,Fabrico de Equipamento e Mobília de Casas de Banho; Vendas e Instalação ,,Výroba vybavení a nábytku do koupelen; prodej a montáž,,Kopalniška oprema in izdelava pohištva; Prodaja in namestitev,,"Výbava do kúpeľne a výroba nábytku, predaj a montáž",,Proizvodnja opreme i namještaja za kupatila; Prodaja i montaža,
,Furniture Wholesale,,Sanitärausstattung; Verkauf und Installation,,Inredningsgrossister,,Meubles en gros,,,Χονδρική Πώληση Επίπλων,,Muebles al por mayor,,Móveis por atacado ,,Velkoobchod s nábytkem,,Prodaja pohištva na debelo,,Veľkoobchod nábytku,,Veleprodaja namještaja ,
,Kitchen Equipment and Furniture Manufacturing; Sales and Installation,,Möbelverkauf,,Köksutrustning och köksinredning Tillverkning: Försäljning och installation,,Équipement et production de meubles pour cuisines ; Vente et installation,,,Εξοπλισμός Κουζίνας και Κατασκευή Επίπλου: Πωλήσεις και Εγκατάσταση,,"Fabricación, venta e instalación de muebles y equipamiento de cocina",,Fabrico de Equipamento e Mobília de Cozinha; Vendas e Instalação ,,Výroba vybavení a nábytku do kuchyní; prodej a montáž,,Kuhinjska oprema in izdelava pohištva; Prodaja in namestitev,,"Kuchynské vybavenie a výroba nábytku, predaj a montáž",,Proizvodnja kuhinjske opreme i namještaja; Prodaja i montaža ,
,Lawns and Parks Services,,Küchenausstattung; Verkauf und Installation,,Gräsmattor och parkservice,,Services d’entretien de la pelouse et des jardins,,,Υπηρεσίες Φροντίδας Γκαζόν και Πάρκων,,Servicios para césped y parques,,Relvados e Serviços de Parques ,,Služby pro trávníky a parky,,Storitve za trate in parke,,Služby pre trávniky a parky,,Službe za održavanje travnjaka i parkova ,
,Banks,,Landschaftsgärtnerei,,Banker,,Banques,,,Τράπεζες,,Bancos,,Bancos ,,Banky,,Banke,,Banky,,Banke ,
,Financial Services,,Banken,,Finansiella tjänster,,Services financiers,,,Χρηματοοικονομικές Υπηρεσίες,,Servicios financieros,,Serviços Financeiros ,,Finanční služby,,Finančne storitve,,Finančné služby,,Finansijske usluge ,
,General Insurance,,Finanzdienstleistungen,,Försäkringsbolag,,Assurances générales,,,Γενικές Ασφάλειες,,Seguros generales,,Seguros Gerais ,,Obecné pojištění,,Splošno zavarovanje,,Všeobecné poistenie,,Opšte osiguranje ,
,Spedition and International Transport,,Allgemeine Versicherungen,,Speditionoch internationella transporter,,Spédition et transport international,,,Αποστολές και Διεθνείς Μεταφορές,,Transportes y transportes internacionales,,Expedição e Transporte Internacional ,,Spedice a mezinárodní přeprava,,Špedicija in mednarodni transport,,Špedícia a medzinárodná preprava,,Špedicija i međunarodni prevoz ,
,Chambers of Commerce and Industry,,Spedition und internationaler Transport,,Handelskammaren,,Chambres de commerce et d’industries,,,Εμπορικά και Βιομηχανικά Επιμελητήρια,,Cámaras de comercio e industria,,Câmaras de Comércio e Indústria ,,Obchodní a průmyslové komory,,Gospodarske in industrijske zbornice,,Komora obchodu a priemyslu,,Privredna komora i industrija ,
,Hospices,,Industrie- und Handelskammer,,Hospice,,Maisons de retraite,,,Άσυλα,,Hospicios,,Hospícios ,,Hospicy,,Hospic,,Hospice,,Hospisi ,
,Nonprofit Organisations and Companies,,Hospize,,Icke vinstdrivande föreningar och företag,,Organisations à but non lucratif,,,Μη Κερδοσκοπικοί Οργανισμοί και Εταιρείες,,Organizaciones y empresas sin ánimo de lucro,,Organizações e Empresas sem fins lucrativos ,,Neziskové organizace a společnosti,,Neprofitne organizacije in podjetja,,Neziskové organizácie a spoločnosti,,Neprofitne organizacije i kompanije ,
,Advertising,,Nonprofit-Organisationen und Unternehmen,,Annonsering,,Publicité,,,Διαφήμιση,,Anuncios,,Publicidade ,,Reklama,,Oglaševanje,,Reklama,,Oglašavanje ,
,Advertising Agencies,,Werbung,,Annonsbyråer,,Agences de publicité,,,Διαφημιστικά Γραφεία,,Agencias de publicidad,,Agências de Publicidade ,,Reklamní agentury,,Oglaševalske agencije,,Reklamné agentúry,,Agencije za oglašavanje ,
,Designers,,Werbeagenturen,,Designers,,Designers,,,Σχεδιαστές,,Diseñadores,,Designers ,,Designéři,,Oblikovalci,,Dizajnéri,,Dizajneri ,
,Public Relations Agencies,,Designer,,PR-företag,,Agences de relations publiques,,,Πρακτορεία Δημοσίων Σχέσεων,,Agencias de relaciones públicas,,Agências de Relações Públicas ,,PR agentury,,Agencije za stike z javnostmi,,Agentúry vzťahov s verejnosťou,,Agencije za odnose sa javnošću,
,Recording Studios and Services,,PR-Agenturen,,Inspelningsstudior och tjänster,,Studios d’enregistrement,,,Στούντιο και Υπηρεσίες Ηχογράφησης,,Estudios y servicios de grabación,,Estúdios e Serviços de Gravação,,Nahrávací studia a služby,,Snemalni studio in storitve,,Nahrávacie štúdiá a súvisiace služby,,Studiji i usluge snimanja,
,Accounting Services,,Aufnahmestudios,,Redovisningstjänster,,Services comptables,,,Λογιστικές Υπηρεσίες,,Servicios de contabilidad,,Serviços de Contabilidade,,Účetní služby,,Računovodske storitve,,Účtovnícke služby,,Računovodstvene usluge,
,Agrochemical Services,,Buchhaltungsservice,,Agrokemiska tjänster,,Services d’agrochimie,,,Αγροτοχημικές Υπηρεσίες,,Servicios agroquímicos,,Serviços de Agroquímicos,,Agrochemické služby,,Agrokemične storitve,,Agrochemické služby,,Agrohemijske usluge,
,Customs Agents and Services,,Agrarchemische Dienstleistungen,,Tullagenter och tulltjänster,,Agents des douanes et services douaniers,,,Εκτελωνιστές και Εκτελωνιστικές Υπηρεσίες,,Agentes y servicios de aduana,,Agentes e Serviços Aduaneiros,,Celní zprostředkovatelství a služby,,Carinski agenti in storitve,,Colní agenti a súvisiace služby,,Carinski agenti i usluge,
,Geodesy and Cartography,,Zollbeamte,,Geodesi och kartografi,,Cartographie et géodésie,,,Γεωδαισία και Χαρτογραφία,,Geodesia y cartografía,,Geodésia e Cartografia,,Geodézie a kartografie,,Geodezija in kartografija,,Geodézia a kartografia,,Geodezija i kartografija,
,Lawyers,,Kartografen,,Advokater,,Avocats,,,Δικηγόροι,,Abogados,,Advogados,,Právníci,,Odvetniki,,Právnici,,Advokati,
,Notaries,,Anwälte,,Notarier,,Notaires,,,Συμβολαιογράφοι,,Notarios,,Notários,,Notáři,,Notarji,,Notári,,Notari,
,Business Centres,,Notare,,Affärscenter,,Centres d’affaires,,,Επιχειρηματικά Κέντρα,,Centros de negocios,,Centros de Negócios,,Business centra,,Poslovni centri,,Biznis centrá,,Poslovni centri,
,Certification and Registration Services,,Business-Center,,Certifierings- och registreringstjänster,,Services de certification et d’enregistrement,,,Υπηρεσίες Πιστοποίησης και Κατοχύρωσης,,Servicios de certificados e inscripciones,,Serviços de Certificação e Registro,,Certifikační a registrační služby,,Storitve za izdajo certifikatov in registracij,,Certifikačné a registračné služby,,Usluge sertifikovanja i registracije,
,Cleaning Commercial,,Zertifizierungs- und Registrierungsdienstleistungen,,Lokalvård,,Entretien ménager commercial,,,Επαγγελματικός Καθαρισμός,,Limpieza de comercios,,Limpeza Comercial,,Komerční čištění,,Komercialno čiščenje,,Čistiace firmy,,Čišćenje,
,Conference Halls and Venues,,Reinigungsunternehmen,,Konferenslokaler,,Salles de conférence,,,Αίθουσες και Χώροι Συνεδρίων,,Palacios y salas de conferencias,,Salas e Locais de Conferências,,Konferenční sály a prostory,,Konferenčne hale in prizorišča,,Konferenčné sály a miesta,,Konferencijske sale i prostori,
,Legal Services,,Konferenzräume und Empfänge,,Juridiska tjänster,,Services juridiques,,,Νομικές Υπηρεσίες,,Servicios legales,,Serviços Jurídicos,,Právní služby,,Pravne storitve,,Právne služby,,Pravne usluge,
,Classes; Courses and Lessons,,Rechtliche Dienstleistungen,,Kurser och undervisning,,"Cours, classes et leçons",,,Εκπαίδευση και Μαθήματα,,"Clases, cursos y cursillos",,Aulas; Cursos e Lições,,Výuka; kurzy a lekce,,Pouk; Tečaji in izobraževanja,,"Lekcie, kurzy a prednášky",,Časovi; Kursevi i lekcije,
,Language Classes and Courses,,Unterricht und Fortbildung,,Språkkurser,,Cours de langue,,,Γλωσσική Εκπαίδευση και Μαθήματα,,Clases y cursos de idiomas,,Aulas e Cursos de Línguas,,Jazykové kurzy a lekce,,Jezikovni tečaji in izobraževanja,,Jazykové kurzy a lekcie,,Časovi i kursevi jezika,
,Estate Agents,,Sprachkurse,,Fastighetsmäklare,,Agents immobiliers,,,Κτηματομεσίτες,,Inmobiliarias,,Agentes Imobiliários,,Realitní kanceláře,,Zemljiški agenti,,Realitní makléri,,Trgovci nekretninama,
,Churches and Temples,,Makler,,Kyrkor och tempel,,Églises et temples,,,Εκκλησίες και Μονές,,Iglesias y templos,,Igrejas e Templos,,Kostely a chrámy,,Cerkve in templji,,Kostoly a chrámy,,Crkve i hramovi,
,Mosques,,Kirchen und Tempel,,Moskéer,,Mosquées,,,Τεμένη,,Mezquitas,,Mesquitas,,Mešity,,Mošeje,,Mešity,,Džamije,
,Funeral Services,,Moscheen,,Begravningsbyråer,,Services funéraires,,,Γραφεία Τελετών,,Servicios funerarios,,Serviços Funerários,,Pohřební služby,,Pogrebne storitve,,Pohrebné služby,,Pogrebne usluge,
,Public Institutions,,Bestattungsinstitute,,Offentliga institutioner,,Institutions publiques,,,Δημόσια Ιδρύματα,,Instituciones públicas,,Instituições Públicas,,Veřejné instituce,,Javne institucije,,Verejné inštitúcie,,Javne institucije,
,Education,,Öffentliche Einrichtungen,,Utbildning,,Éducation,,,Εκπαίδευση,,Educación,,Educação,,Vzdělávání,,Izobrazba,,Vzdelanie,,Obrazovanje,
,Architectural Services,,Bildung,,Arkitekttjänster,,Services d’architecture,,,Αρχιτεκτονικές Υπηρεσίες,,Servicios de arquitectura,,Serviços de Arquitectura,,Architektonické služby,,Arhitekturne storitve,,Architektonické služby,,Arhitektonske usluge,
